Date time,Wind (m/s),Tout (°C)
7. 03. 2018 13:00,0.25,5.4
7. 03. 2018 13:10,0.26,5.4
7. 03. 2018 13:20,0.24,5.4
7. 03. 2018 13:30,0.18,5.2
7. 03. 2018 13:40,0.2,5.4
7. 03. 2018 13:50,0.25,5.5
7. 03. 2018 14:00,0.22,5.4
7. 03. 2018 14:10,0.28,5.3
7. 03. 2018 14:50,-0.11,4.6
7. 03. 2018 15:00,0.36,4.6
7. 03. 2018 15:10,0.23,4.9
7. 03. 2018 15:20,0.27,5.3
7. 03. 2018 15:30,0.24,5.4
7. 03. 2018 15:40,0.28,5.3
7. 03. 2018 15:50,0.2,5.1
7. 03. 2018 16:00,0.22,5
7. 03. 2018 16:10,0.23,5
7. 03. 2018 16:20,0.21,4.7
7. 03. 2018 16:30,0.2,4.5
7. 03. 2018 16:40,0.25,4.6
7. 03. 2018 16:50,0.26,4.4
7. 03. 2018 17:00,0.25,4.4
7. 03. 2018 17:10,0.24,4.4
7. 03. 2018 17:20,0.22,4.4
7. 03. 2018 17:30,0.22,4.2
7. 03. 2018 17:40,0.2,3.9
7. 03. 2018 17:50,0.24,4
7. 03. 2018 18:00,0.23,3.9
7. 03. 2018 18:10,0.09,3.7
7. 03. 2018 18:20,0.13,3.6
7. 03. 2018 18:30,0.21,3.9
7. 03. 2018 18:40,0.23,3.8
7. 03. 2018 18:50,0.16,3.7
7. 03. 2018 19:00,0.17,3.6
7. 03. 2018 19:10,0.15,2.9
7. 03. 2018 19:20,0.19,2.9
7. 03. 2018 19:30,0.26,2.8
7. 03. 2018 19:40,0.25,2.7
7. 03. 2018 19:50,0.21,2.8
7. 03. 2018 20:00,0.26,2.8
7. 03. 2018 20:10,0.26,2.8
7. 03. 2018 20:20,0.23,2.7
7. 03. 2018 20:30,0.26,2.3
7. 03. 2018 20:40,0.16,2.3
7. 03. 2018 20:50,0.19,2.4
7. 03. 2018 21:00,0.26,2.2
7. 03. 2018 21:10,0.24,1.9
7. 03. 2018 21:20,0.15,2
7. 03. 2018 21:30,0.25,2.1
7. 03. 2018 21:40,0.28,2.2
7. 03. 2018 21:50,0.25,2.1
7. 03. 2018 22:00,0.25,1.7
7. 03. 2018 22:10,0.29,1.6
7. 03. 2018 22:20,0.25,1.8
7. 03. 2018 22:30,0.28,1.9
7. 03. 2018 22:40,0.35,1.9
7. 03. 2018 22:50,0.34,1.8
7. 03. 2018 23:00,0.29,1.8
7. 03. 2018 23:10,0.19,1.6
7. 03. 2018 23:20,0.21,1.5
7. 03. 2018 23:30,0.23,1.9
7. 03. 2018 23:40,0.22,2
7. 03. 2018 23:50,0.32,1.7
8. 03. 2018 00:00,0.36,1.5
8. 03. 2018 00:10,0.33,1.5
8. 03. 2018 00:20,0.36,1.3
8. 03. 2018 00:30,0.38,1.4
8. 03. 2018 00:40,0.28,1.5
8. 03. 2018 00:50,0.19,1.7
8. 03. 2018 01:00,0.23,2
8. 03. 2018 01:10,0.12,2.2
8. 03. 2018 01:20,0.18,2
8. 03. 2018 01:30,0.05,1.5
8. 03. 2018 01:40,0.26,1.5
8. 03. 2018 01:50,0.15,1.5
8. 03. 2018 02:00,0.31,1.3
8. 03. 2018 02:10,0.28,1.2
8. 03. 2018 02:20,0.26,1.3
8. 03. 2018 02:30,0.31,1.2
8. 03. 2018 02:40,0.36,1.3
8. 03. 2018 02:50,0.35,1.4
8. 03. 2018 03:00,0.35,1.4
8. 03. 2018 03:10,0.31,1.4
8. 03. 2018 03:20,0.3,1.5
8. 03. 2018 03:30,0.28,1.5
8. 03. 2018 03:40,0.26,1.6
8. 03. 2018 03:50,0.29,1.3
8. 03. 2018 04:00,0.25,1.1
8. 03. 2018 04:10,0.2,0.9
8. 03. 2018 04:20,0.27,1
8. 03. 2018 04:30,0.3,1
8. 03. 2018 04:40,0.32,0.9
8. 03. 2018 04:50,0.26,0.8
8. 03. 2018 05:00,0.22,0.7
8. 03. 2018 05:10,0.24,0.7
8. 03. 2018 05:20,0.27,0.6
8. 03. 2018 05:30,0.26,0.6
8. 03. 2018 05:40,0.29,0.7
8. 03. 2018 05:50,0.33,0.6
8. 03. 2018 06:00,0.33,0.5
8. 03. 2018 06:10,0.36,0.3
8. 03. 2018 06:20,0.32,0.3
8. 03. 2018 06:30,0.25,0.3
8. 03. 2018 06:40,0.26,0.6
8. 03. 2018 06:50,0.25,0.7
8. 03. 2018 07:00,0.32,0.2
8. 03. 2018 07:10,0.41,0.2
8. 03. 2018 07:20,0.38,0.4
8. 03. 2018 07:30,0.34,0.3
8. 03. 2018 07:40,0.37,0.4
8. 03. 2018 07:50,0.35,0.6
8. 03. 2018 08:00,0.32,0.7
8. 03. 2018 08:10,0.32,0.8
8. 03. 2018 08:20,0.35,0.8
8. 03. 2018 08:30,0.39,0.8
8. 03. 2018 08:40,0.37,0.6
8. 03. 2018 08:50,0.37,1
8. 03. 2018 09:00,0.42,1
8. 03. 2018 09:10,0.46,1.3
8. 03. 2018 09:20,0.47,1.6
8. 03. 2018 09:30,0.46,1.9
8. 03. 2018 09:40,0.42,2.3
8. 03. 2018 09:50,0.43,2.1
8. 03. 2018 10:00,0.39,3
8. 03. 2018 10:10,0.39,4.1
8. 03. 2018 10:20,0.42,4.3
8. 03. 2018 10:30,0.39,4.3
8. 03. 2018 10:40,0.33,5
8. 03. 2018 10:50,0.35,5.8
8. 03. 2018 11:00,0.34,6.5
8. 03. 2018 11:10,0.33,6.3
8. 03. 2018 11:20,0.31,6.4
8. 03. 2018 11:30,0.28,7
8. 03. 2018 11:40,0.26,7.1
8. 03. 2018 11:50,0.28,7.5
8. 03. 2018 12:00,0.28,8.2
8. 03. 2018 12:10,0.27,9
8. 03. 2018 12:20,0.18,9.5
8. 03. 2018 12:30,0.18,10.3
8. 03. 2018 12:40,0.21,10.3
8. 03. 2018 12:50,0.2,10.6
8. 03. 2018 13:00,0.2,11
8. 03. 2018 13:10,0.18,11.2
8. 03. 2018 13:20,0.22,11.2
8. 03. 2018 13:30,0.22,10.9
8. 03. 2018 13:40,0.09,10.2
8. 03. 2018 13:50,0.19,10.8
8. 03. 2018 14:00,0.16,10.5
8. 03. 2018 14:10,0.17,10.5
8. 03. 2018 14:20,0.22,10.4
8. 03. 2018 14:50,0.24,9.8
8. 03. 2018 15:00,0.22,9.7
8. 03. 2018 16:40,0.23,8
8. 03. 2018 16:50,0.27,7.7
8. 03. 2018 17:00,0.28,7.6
8. 03. 2018 17:10,0.28,7.4
8. 03. 2018 17:30,0.28,7.1
8. 03. 2018 17:40,0.3,7
8. 03. 2018 18:10,0.27,6.2
8. 03. 2018 18:20,0.25,6
8. 03. 2018 18:30,0.21,5.7
8. 03. 2018 18:40,0.18,5.6
8. 03. 2018 19:00,0.24,5.3
8. 03. 2018 19:10,0.25,5.3
8. 03. 2018 19:20,0.23,5.1
8. 03. 2018 19:30,0.24,4.9
8. 03. 2018 19:40,0.26,4.7
8. 03. 2018 19:50,0.26,4.4
8. 03. 2018 20:00,0.24,4.5
8. 03. 2018 20:10,0.24,4.4
8. 03. 2018 20:20,0.23,4.2
8. 03. 2018 20:30,0.27,4.3
8. 03. 2018 20:40,0.27,4.1
8. 03. 2018 20:50,0.28,4.1
8. 03. 2018 21:00,0.28,3.9
8. 03. 2018 21:10,0.26,3.9
8. 03. 2018 21:20,0.26,3.8
8. 03. 2018 21:30,0.29,3.7
8. 03. 2018 21:40,0.31,3.1
8. 03. 2018 21:50,0.3,3.1
8. 03. 2018 22:00,0.29,3
8. 03. 2018 22:10,0.31,2.9
8. 03. 2018 22:20,0.32,3.3
8. 03. 2018 22:30,0.3,3.3
8. 03. 2018 22:40,0.3,3.3
8. 03. 2018 22:50,0.3,3.6
8. 03. 2018 23:00,0.26,3.9
8. 03. 2018 23:10,0.26,4.1
8. 03. 2018 23:20,0.28,4.1
8. 03. 2018 23:30,0.27,4
8. 03. 2018 23:40,0.26,3.8
8. 03. 2018 23:50,0.26,3.7
9. 03. 2018 00:00,0.27,3.6
9. 03. 2018 00:10,0.22,3.5
9. 03. 2018 00:20,0.25,3.6
9. 03. 2018 00:30,0.3,3.6
9. 03. 2018 00:40,0.31,3.6
9. 03. 2018 00:50,0.3,3.8
9. 03. 2018 01:00,0.28,3.8
9. 03. 2018 01:10,0.26,3.8
9. 03. 2018 01:20,0.25,3.3
9. 03. 2018 01:30,0.24,3.5
9. 03. 2018 01:40,0.25,3.6
9. 03. 2018 01:50,0.26,3.5
9. 03. 2018 02:00,0.29,3.7
9. 03. 2018 02:10,0.28,3.8
9. 03. 2018 02:20,0.26,3.6
9. 03. 2018 02:30,0.26,3.6
9. 03. 2018 02:40,0.28,3.6
9. 03. 2018 02:50,0.28,3.8
9. 03. 2018 03:00,0.3,4
9. 03. 2018 03:10,0.3,4
9. 03. 2018 03:20,0.31,3.9
9. 03. 2018 03:30,0.32,3.9
9. 03. 2018 03:40,0.3,3.9
9. 03. 2018 03:50,0.31,3.9
9. 03. 2018 04:00,0.3,3.7
9. 03. 2018 04:10,0.3,3.7
9. 03. 2018 04:20,0.36,3.6
9. 03. 2018 04:30,0.39,3.8
9. 03. 2018 04:40,0.38,3.8
9. 03. 2018 05:00,0.4,4
9. 03. 2018 05:30,0.3,3.7
9. 03. 2018 05:40,0.27,3.6
9. 03. 2018 05:50,0.29,3.6
9. 03. 2018 06:00,0.27,3.5
9. 03. 2018 06:10,0.24,3.4
9. 03. 2018 06:20,0.25,3.3
9. 03. 2018 06:30,0.22,3
9. 03. 2018 06:40,0.24,2.9
9. 03. 2018 06:50,0.27,2.6
9. 03. 2018 07:00,0.3,2.5
9. 03. 2018 07:10,0.33,2.8
9. 03. 2018 07:20,0.3,3.2
9. 03. 2018 07:30,0.29,3.5
9. 03. 2018 07:50,0.34,3.8
9. 03. 2018 08:00,0.32,3.9
9. 03. 2018 08:10,0.34,4.1
9. 03. 2018 08:20,0.33,4.5
9. 03. 2018 08:40,0.42,5
9. 03. 2018 08:50,0.42,5.3
9. 03. 2018 09:00,0.42,5.6
9. 03. 2018 09:30,0.37,5.7
9. 03. 2018 11:30,0.32,8.2
9. 03. 2018 18:10,0.4,7.1
9. 03. 2018 18:40,0.46,6.7
9. 03. 2018 18:50,0.44,6.4
9. 03. 2018 19:00,0.43,6.2
9. 03. 2018 19:10,0.43,6.2
9. 03. 2018 19:20,0.44,6
9. 03. 2018 19:30,0.46,5.9
10. 03. 2018 00:30,0.36,4.8
10. 03. 2018 00:40,0.37,4.6
10. 03. 2018 00:50,0.38,4.7
10. 03. 2018 01:00,0.37,4.7
10. 03. 2018 01:10,0.36,4.8
10. 03. 2018 01:20,0.3,4.8
10. 03. 2018 01:30,0.28,4.7
10. 03. 2018 01:40,0.28,4.8
10. 03. 2018 01:50,0.29,4.8
10. 03. 2018 02:00,0.29,4.9
10. 03. 2018 02:10,0.26,4.8
10. 03. 2018 02:40,0.29,4.7
10. 03. 2018 03:50,0.31,4.3
10. 03. 2018 04:00,0.31,4.3
10. 03. 2018 04:10,0.27,4.2
10. 03. 2018 04:20,0.24,4.2
10. 03. 2018 04:30,0.24,4
10. 03. 2018 04:40,0.29,3.8
10. 03. 2018 04:50,0.31,4.1
10. 03. 2018 05:10,0.31,4.2
10. 03. 2018 05:20,0.32,4.1
10. 03. 2018 05:30,0.33,4.1
10. 03. 2018 05:50,0.37,4.3
10. 03. 2018 06:00,0.36,4
10. 03. 2018 06:10,0.36,4
10. 03. 2018 06:20,0.36,3.9
10. 03. 2018 06:30,0.38,3.9
10. 03. 2018 06:40,0.39,4
10. 03. 2018 06:50,0.4,4.1
10. 03. 2018 07:00,0.4,4.1
10. 03. 2018 07:10,0.42,4.2
10. 03. 2018 07:20,0.38,4.3
10. 03. 2018 07:30,0.36,4.5
10. 03. 2018 07:40,0.37,4.5
10. 03. 2018 07:50,0.36,4.6
10. 03. 2018 08:00,0.37,4.8
10. 03. 2018 08:10,0.42,5.3
10. 03. 2018 08:30,0.4,6.1
10. 03. 2018 16:50,0.42,7.1
10. 03. 2018 17:00,0.4,7.1
10. 03. 2018 17:40,0.39,6.6
10. 03. 2018 17:50,0.39,6.5
10. 03. 2018 18:00,0.41,6.6
10. 03. 2018 18:10,0.39,6.6
10. 03. 2018 18:30,0.38,6.8
10. 03. 2018 18:50,0.43,6.6
10. 03. 2018 19:00,0.42,6.5
10. 03. 2018 19:10,0.41,6.4
10. 03. 2018 19:20,0.41,6.4
10. 03. 2018 19:30,0.37,6.4
10. 03. 2018 19:40,0.39,6.4
10. 03. 2018 20:00,0.34,6.6
10. 03. 2018 20:10,0.34,6.5
10. 03. 2018 20:20,0.33,6.6
10. 03. 2018 20:30,0.39,6.6
10. 03. 2018 20:40,0.25,6.6
10. 03. 2018 20:50,0.24,6.6
10. 03. 2018 21:00,0.31,6.4
10. 03. 2018 21:10,0.31,6.3
10. 03. 2018 21:20,0.27,6.3
10. 03. 2018 21:30,0.28,6.2
10. 03. 2018 21:40,0.26,6.2
10. 03. 2018 21:50,0.24,6.3
10. 03. 2018 22:00,0.28,6.5
10. 03. 2018 22:10,0.32,6.4
10. 03. 2018 22:20,0.33,6.2
10. 03. 2018 22:30,0.34,6.1
10. 03. 2018 22:40,0.35,6
10. 03. 2018 22:50,0.36,6
10. 03. 2018 23:00,0.33,6
10. 03. 2018 23:10,0.31,5.9
10. 03. 2018 23:20,0.29,5.8
10. 03. 2018 23:30,0.26,5.5
10. 03. 2018 23:40,0.28,5.6
10. 03. 2018 23:50,0.27,5.6
11. 03. 2018 00:00,0.28,5.5
11. 03. 2018 00:10,0.26,5.6
11. 03. 2018 00:20,0.26,5.5
11. 03. 2018 00:30,0.24,5.5
11. 03. 2018 00:40,0.22,5.7
11. 03. 2018 00:50,0.21,5.6
11. 03. 2018 01:00,0.24,5.6
11. 03. 2018 01:10,0.27,5.8
11. 03. 2018 01:20,0.29,5.8
11. 03. 2018 01:30,0.28,5.8
11. 03. 2018 01:40,0.29,5.8
11. 03. 2018 01:50,0.28,5.8
11. 03. 2018 02:00,0.24,5.7
11. 03. 2018 02:10,0.25,5.7
11. 03. 2018 02:20,0.23,5.7
11. 03. 2018 02:30,0.23,6
11. 03. 2018 02:40,0.22,6
11. 03. 2018 02:50,0.22,6.1
11. 03. 2018 03:00,0.24,6.1
11. 03. 2018 03:10,0.22,6
11. 03. 2018 03:20,0.2,6
11. 03. 2018 03:30,0.19,5.8
11. 03. 2018 03:40,0.22,5.9
11. 03. 2018 03:50,0.25,6
11. 03. 2018 04:00,0.24,6
11. 03. 2018 04:10,0.19,5.9
11. 03. 2018 04:20,0.25,5.9
11. 03. 2018 04:30,0.28,6
11. 03. 2018 04:40,0.3,5.9
11. 03. 2018 04:50,0.29,5.9
11. 03. 2018 05:00,0.25,5.9
11. 03. 2018 05:10,0.25,6.2
11. 03. 2018 05:20,0.26,6.3
11. 03. 2018 05:30,0.23,6.2
11. 03. 2018 05:40,0.23,6.1
11. 03. 2018 05:50,0.23,6.2
11. 03. 2018 06:00,0.26,6.1
11. 03. 2018 06:10,0.27,6.2
11. 03. 2018 06:20,0.23,6.2
11. 03. 2018 06:30,0.21,6.3
11. 03. 2018 06:40,0.24,6.4
11. 03. 2018 06:50,0.25,6.2
11. 03. 2018 07:00,0.25,6.3
11. 03. 2018 07:10,0.23,6.5
11. 03. 2018 07:20,0.19,6.6
11. 03. 2018 07:30,0.25,6.4
11. 03. 2018 07:40,0.24,6.4
11. 03. 2018 07:50,0.2,6.7
11. 03. 2018 08:00,0.22,6.9
11. 03. 2018 08:10,0.21,6.8
11. 03. 2018 08:20,0.21,6.6
11. 03. 2018 08:30,0.24,6.5
11. 03. 2018 08:40,0.25,6.8
11. 03. 2018 08:50,0.24,7.1
11. 03. 2018 09:00,0.26,7.3
11. 03. 2018 09:10,0.26,7.3
11. 03. 2018 09:20,0.26,7.5
11. 03. 2018 10:10,0.24,7.8
12. 03. 2018 05:40,0.22,7.9
12. 03. 2018 11:20,0.19,8
12. 03. 2018 11:30,0.14,8.3
12. 03. 2018 15:30,0.12,9.9
12. 03. 2018 15:40,0.16,10.3
12. 03. 2018 18:10,0.16,8
12. 03. 2018 18:20,0.18,7.9
12. 03. 2018 18:30,0.18,7.8
12. 03. 2018 18:40,0.19,7.8
12. 03. 2018 18:50,0.14,7.8
12. 03. 2018 19:00,0.05,7.8
12. 03. 2018 19:10,0.07,7.6
12. 03. 2018 19:20,0.03,7.5
12. 03. 2018 19:30,-0.07,7.3
12. 03. 2018 19:40,-0.02,7.3
12. 03. 2018 19:50,0.04,7.2
12. 03. 2018 20:00,0.07,7
12. 03. 2018 20:10,0.1,6.8
12. 03. 2018 20:20,0.07,6.7
12. 03. 2018 20:30,0.05,6.7
12. 03. 2018 20:40,-0.02,6.5
12. 03. 2018 20:50,0.05,6.5
12. 03. 2018 21:00,0.08,6.6
12. 03. 2018 21:10,0.1,6.6
12. 03. 2018 21:20,0.05,6.6
12. 03. 2018 21:30,0.09,6.6
12. 03. 2018 21:40,0.11,6.5
12. 03. 2018 21:50,0.1,6.4
12. 03. 2018 22:00,0.03,6.3
12. 03. 2018 22:10,0.06,6.3
12. 03. 2018 22:20,0.01,6.2
12. 03. 2018 22:30,-0.02,6.4
12. 03. 2018 22:40,0.01,6.2
12. 03. 2018 22:50,0.03,5.8
12. 03. 2018 23:00,0.1,5.7
12. 03. 2018 23:10,0.08,5.4
12. 03. 2018 23:20,0.13,5.5
12. 03. 2018 23:30,0.15,5.4
12. 03. 2018 23:40,0.19,5.1
12. 03. 2018 23:50,0.12,4.9
13. 03. 2018 00:00,0.13,4.2
13. 03. 2018 00:10,0.12,3.8
13. 03. 2018 00:20,0.16,3.8
13. 03. 2018 00:30,0.13,3.9
13. 03. 2018 00:40,0.08,3.7
13. 03. 2018 00:50,0.12,3.7
13. 03. 2018 01:00,0.1,4
13. 03. 2018 01:10,0.11,3.7
13. 03. 2018 01:20,0.11,3.3
13. 03. 2018 01:30,0.14,3
13. 03. 2018 01:40,0.08,3
13. 03. 2018 01:50,0.12,2.6
13. 03. 2018 02:00,0.14,2.8
13. 03. 2018 02:10,0.13,3.1
13. 03. 2018 02:20,0.11,3.1
13. 03. 2018 02:30,0.13,2.7
13. 03. 2018 02:40,0.13,2.6
13. 03. 2018 02:50,0.16,2.7
13. 03. 2018 03:00,0.14,2.7
13. 03. 2018 03:10,0.14,2.6
13. 03. 2018 03:20,0.18,2.6
13. 03. 2018 03:30,0.19,2.5
13. 03. 2018 03:40,0.16,2.5
13. 03. 2018 03:50,0.14,2.3
13. 03. 2018 04:00,0.13,2.4
13. 03. 2018 04:10,0.21,2.1
13. 03. 2018 04:20,0.19,2.3
13. 03. 2018 04:30,0.17,2.7
13. 03. 2018 04:40,0.17,2.8
13. 03. 2018 04:50,0.16,2.9
13. 03. 2018 05:00,0.19,2.7
13. 03. 2018 05:10,0.19,2.4
13. 03. 2018 05:20,0.18,2.6
13. 03. 2018 05:30,0.18,2.2
13. 03. 2018 05:40,0.18,2.3
13. 03. 2018 05:50,0.19,2.7
13. 03. 2018 06:00,0.16,2.7
13. 03. 2018 06:10,0.15,2.7
13. 03. 2018 06:20,0.13,2.4
13. 03. 2018 06:30,0.14,2.6
13. 03. 2018 06:40,0.15,2.7
13. 03. 2018 06:50,0.13,3.2
13. 03. 2018 07:00,0.11,3.5
13. 03. 2018 07:10,0.09,3.5
13. 03. 2018 07:20,0.09,3
13. 03. 2018 07:30,0.07,3.2
13. 03. 2018 07:40,0.07,3.7
13. 03. 2018 07:50,0.08,3.7
13. 03. 2018 08:00,0.09,3.9
13. 03. 2018 08:10,0.11,4.4
13. 03. 2018 08:20,0.15,4.8
13. 03. 2018 08:30,0.19,5.4
13. 03. 2018 08:40,0.16,5.9
13. 03. 2018 08:50,0.16,6.2
13. 03. 2018 09:00,0.1,6.3
13. 03. 2018 09:10,0.1,6.7
13. 03. 2018 09:20,0.18,7.1
13. 03. 2018 09:30,0.2,7.4
13. 03. 2018 09:40,0.15,7.8
13. 03. 2018 09:50,0.15,8.5
13. 03. 2018 10:00,0.08,8.9
13. 03. 2018 10:10,0.14,9.3
13. 03. 2018 10:20,0.02,9.6
13. 03. 2018 10:30,0.05,9.8
13. 03. 2018 10:40,0.09,10
13. 03. 2018 10:50,0.07,10.3
13. 03. 2018 11:00,0.08,10.3
13. 03. 2018 11:10,0.1,10.1
13. 03. 2018 11:20,0.08,10.2
13. 03. 2018 11:30,0.03,10.2
13. 03. 2018 11:40,0,10.3
13. 03. 2018 11:50,0.05,10.4
13. 03. 2018 12:10,0.07,10.7
13. 03. 2018 12:20,0.11,11.1
13. 03. 2018 12:30,0.1,10.9
13. 03. 2018 12:40,-0.02,11
13. 03. 2018 12:50,0.01,10.9
13. 03. 2018 13:00,0.07,10.8
13. 03. 2018 13:10,0.09,10.8
13. 03. 2018 13:20,0.11,10.8
13. 03. 2018 13:30,0.07,10.9
13. 03. 2018 13:40,0.12,10.9
13. 03. 2018 13:50,0.12,10.7
13. 03. 2018 15:00,0.18,7.1
13. 03. 2018 15:10,0.15,7.1
13. 03. 2018 15:20,0.03,7.2
13. 03. 2018 15:30,-0.03,7.3
13. 03. 2018 15:40,0.16,7.4
13. 03. 2018 15:50,0.07,7.3
13. 03. 2018 16:00,0.08,7.4
13. 03. 2018 16:10,0.1,7.6
13. 03. 2018 16:20,0.1,7.7
13. 03. 2018 16:30,0.13,7.7
13. 03. 2018 16:40,0.12,7.6
13. 03. 2018 16:50,0.16,7.5
13. 03. 2018 17:00,0.13,7.4
13. 03. 2018 17:10,0.09,7.3
13. 03. 2018 17:20,0.07,7
13. 03. 2018 17:30,0.08,6.8
13. 03. 2018 17:40,0.14,6.7
13. 03. 2018 17:50,0.09,6.6
13. 03. 2018 18:00,0.06,6.7
13. 03. 2018 18:10,0.09,6.6
13. 03. 2018 18:20,0.15,6.4
13. 03. 2018 18:30,0.11,6.3
13. 03. 2018 18:40,0.13,6.6
13. 03. 2018 18:50,0.14,6.6
13. 03. 2018 19:00,0.13,6.7
13. 03. 2018 19:10,0.18,6.9
13. 03. 2018 19:20,0.19,7
13. 03. 2018 19:30,0.16,7.1
13. 03. 2018 19:40,0.16,7
13. 03. 2018 19:50,0.16,6.8
13. 03. 2018 20:00,0.14,6.7
13. 03. 2018 20:10,0.14,6.8
13. 03. 2018 20:20,0.13,6.7
13. 03. 2018 20:30,0.12,6.9
13. 03. 2018 20:40,0.09,6.9
13. 03. 2018 20:50,0.13,6.8
13. 03. 2018 21:20,0.1,5.3
13. 03. 2018 21:30,0.22,5
13. 03. 2018 21:40,0.12,4.8
13. 03. 2018 21:50,0.14,4.8
13. 03. 2018 22:00,0.21,4.8
13. 03. 2018 22:10,0.17,4.8
13. 03. 2018 22:20,0.21,4.8
13. 03. 2018 22:30,0.24,4.9
13. 03. 2018 22:40,0.12,4.9
13. 03. 2018 22:50,0.13,4.8
13. 03. 2018 23:00,0.18,4.8
13. 03. 2018 23:10,0.11,4.7
13. 03. 2018 23:20,0.06,4.4
13. 03. 2018 23:30,0.16,4.2
13. 03. 2018 23:40,0.14,4.1
13. 03. 2018 23:50,0.06,3.8
14. 03. 2018 00:00,0,3.6
14. 03. 2018 00:10,0.1,3.5
14. 03. 2018 00:20,0.14,3.5
14. 03. 2018 00:30,0.16,3.1
14. 03. 2018 00:40,0.16,2.8
14. 03. 2018 00:50,0.15,2.6
14. 03. 2018 01:00,0.19,2.6
14. 03. 2018 01:10,0.18,2.6
14. 03. 2018 01:20,0.2,2.7
14. 03. 2018 01:30,0.22,2.9
14. 03. 2018 01:40,0.17,2.9
14. 03. 2018 01:50,0.17,2.8
14. 03. 2018 02:00,0.18,2.5
14. 03. 2018 02:10,0.19,2.5
14. 03. 2018 02:20,0.13,2.3
14. 03. 2018 02:30,0.18,2.2
14. 03. 2018 02:40,0.19,2.2
14. 03. 2018 02:50,0.18,2.2
14. 03. 2018 03:00,0.17,2.1
14. 03. 2018 03:10,0.16,1.9
14. 03. 2018 03:20,0.14,1.9
14. 03. 2018 03:30,0.13,1.8
14. 03. 2018 03:40,0.13,1.7
14. 03. 2018 03:50,0.16,1.5
14. 03. 2018 04:00,0.22,1.5
14. 03. 2018 04:10,0.23,1.5
14. 03. 2018 04:20,0.16,1.4
14. 03. 2018 04:30,0.17,1.3
14. 03. 2018 04:40,0.19,1.1
14. 03. 2018 04:50,0.2,0.9
14. 03. 2018 05:00,0.26,0.9
14. 03. 2018 05:10,0.23,0.8
14. 03. 2018 05:20,0.16,0.7
14. 03. 2018 05:30,0.25,0.7
14. 03. 2018 05:40,0.26,0.8
14. 03. 2018 05:50,0.25,0.7
14. 03. 2018 06:00,0.16,0.6
14. 03. 2018 06:10,0.2,0.6
14. 03. 2018 06:20,0.23,0.6
14. 03. 2018 06:30,0.24,0.5
14. 03. 2018 06:40,0.25,0.5
14. 03. 2018 06:50,0.23,0.5
14. 03. 2018 07:00,0.17,0.7
14. 03. 2018 07:10,0.23,0.7
14. 03. 2018 07:20,0.23,0.9
14. 03. 2018 07:30,0.26,1.1
14. 03. 2018 07:40,0.27,1.3
14. 03. 2018 07:50,0.29,1.6
14. 03. 2018 08:00,0.31,1.9
14. 03. 2018 08:10,0.33,2.1
14. 03. 2018 08:20,0.31,2.3
14. 03. 2018 08:30,0.33,2.5
14. 03. 2018 08:40,0.31,2.6
14. 03. 2018 08:50,0.28,2.6
14. 03. 2018 09:00,0.25,2.7
14. 03. 2018 09:10,0.25,3.1
14. 03. 2018 09:20,0.24,4
14. 03. 2018 09:30,0.25,4.6
14. 03. 2018 09:40,0.23,5.1
14. 03. 2018 09:50,0.22,6
14. 03. 2018 10:00,0.2,6.7
14. 03. 2018 10:10,0.21,7.6
14. 03. 2018 10:20,0.22,8.2
14. 03. 2018 10:30,0.19,8.7
14. 03. 2018 10:40,0.17,9.5
14. 03. 2018 10:50,0.18,9.8
14. 03. 2018 11:00,0.18,10
14. 03. 2018 11:10,0.14,10.2
14. 03. 2018 11:20,0.1,10.9
14. 03. 2018 11:30,0.09,11.6
14. 03. 2018 11:40,0.11,11.6
14. 03. 2018 11:50,0.1,11.9
14. 03. 2018 12:00,0.06,11.9
14. 03. 2018 12:10,0.1,12
14. 03. 2018 12:20,0.07,12.4
14. 03. 2018 12:30,0.09,12
14. 03. 2018 12:40,0.1,11
14. 03. 2018 12:50,0.17,10.1
14. 03. 2018 13:00,-0.17,10.1
14. 03. 2018 13:10,-0.1,10.1
14. 03. 2018 13:20,-0.16,10.1
14. 03. 2018 14:40,0.23,7.6
14. 03. 2018 14:50,0.23,7.1
14. 03. 2018 15:00,0.19,6.7
14. 03. 2018 15:10,0.11,6.2
14. 03. 2018 15:20,0.1,5.9
14. 03. 2018 15:30,0.04,5.8
14. 03. 2018 15:40,0.13,6
14. 03. 2018 15:50,0.09,6
14. 03. 2018 16:00,0.13,6.1
14. 03. 2018 16:10,0.13,6.2
14. 03. 2018 16:20,0.05,6.4
14. 03. 2018 16:30,-0.03,6.6
14. 03. 2018 16:40,0.11,6.9
14. 03. 2018 16:50,0.03,7.5
14. 03. 2018 17:00,-0.04,8.1
14. 03. 2018 17:10,-0.11,8.1
14. 03. 2018 17:20,-0.11,8.1
14. 03. 2018 17:30,-0.09,8.1
14. 03. 2018 17:40,-0.1,8.2
14. 03. 2018 17:50,-0.07,8
14. 03. 2018 18:00,-0.07,7.4
14. 03. 2018 18:10,-0.11,6.9
14. 03. 2018 18:20,-0.06,6.4
14. 03. 2018 18:30,-0.1,6.1
14. 03. 2018 18:40,-0.13,6.1
14. 03. 2018 18:50,-0.14,5.8
14. 03. 2018 19:00,-0.18,5.8
14. 03. 2018 19:50,-0.19,5.4
14. 03. 2018 20:00,-0.2,5.3
14. 03. 2018 20:10,-0.13,5
